workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,result
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,24,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,47,United-States,>50K
Self-emp-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States,<=50K
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
?,HS-grad,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
Private,7th-8th,Never-married,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,>50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,Canada,>50K
Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
?,Some-college,Never-married,?,Unmarried,Amer-Indian-Eskimo,Female,0,0,25,United-States,<=50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,>50K
Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,2174,0,40,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,28,United-States,<=50K
Private,7th-8th,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Local-gov,9th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,Assoc-acdm,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States,<=50K
Private,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Private,HS-grad,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
Local-gov,HS-grad,Separated,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Private,10th,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,<=50K
Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,6849,0,60,United-States,<=50K
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,1055,0,40,United-States,<=50K
Private,Bachelors,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,45,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States,<=50K
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States,>50K
Private,Bachelors,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
Private,11th,Widowed,Other-service,Not-in-family,Black,Female,0,0,20,United-States,<=50K
Private,9th,Widowed,Priv-house-serv,Unmarried,Black,Female,0,0,24,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K
Private,9th,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,El-Salvador,<=50K
Private,HS-grad,Never-married,Farming-fishing,Own-child,Black,Male,0,0,60,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,<=50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,26,United-States,>50K
Self-emp-not-inc,Some-college,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
Local-gov,10th,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,60,United-States,>50K
Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,14,United-States,<=50K
Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
Self-emp-inc,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Cuba,<=50K
Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,5178,0,50,United-States,>50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
Self-emp-inc,Doctorate,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States,<=50K
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,<=50K
State-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Male,4101,0,50,United-States,<=50K
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,>50K
State-gov,Some-college,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,32,United-States,<=50K
State-gov,Some-college,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
?,9th,Widowed,?,Unmarried,White,Female,1111,0,15,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
Self-emp-not-inc,12th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,>50K
Private,Masters,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States,<=50K
Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,8614,0,40,United-States,>50K
State-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,3411,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
?,11th,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,0,1762,40,South,<=50K
Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1721,40,United-States,<=50K
Federal-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
?,11th,Never-married,?,Own-child,White,Female,0,0,20,United-States,<=50K
Self-emp-not-inc,11th,Never-married,Farming-fishing,Own-child,White,Male,0,0,10,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
Private,HS-grad,Never-married,Sales,Own-child,White,Female,2597,0,40,United-States,<=50K
Private,12th,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico,<=50K
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
Local-gov,HS-grad,Never-married,Protective-serv,Own-child,White,Male,0,0,48,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Local-gov,Some-college,Separated,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States,<=50K
State-gov,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,5,United-States,<=50K
Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
?,7th-8th,Never-married,?,Not-in-family,White,Male,0,0,4,United-States,<=50K
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,Dominican-Republic,<=50K
Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,0,0,30,United-States,<=50K
Local-gov,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,45,United-States,<=50K
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,<=50K
State-gov,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K
?,Assoc-acdm,Never-married,?,Other-relative,White,Male,0,0,45,United-States,<=50K
Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,>50K
Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40,United-States,>50K
Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,Poland,<=50K
Private,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
Private,Bachelors,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba,<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Doctorate,Divorced,Prof-specialty,Unmarried,White,Female,25236,0,65,United-States,>50K
Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Female,0,0,50,United-States,>50K
Private,12th,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Jamaica,<=50K
Private,Some-college,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
Private,11th,Never-married,Other-service,Other-relative,White,Male,0,0,25,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,?,<=50K
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,4386,0,40,United-States,<=50K
Local-gov,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,Honduras,<=50K
Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
State-gov,HS-grad,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,60,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,4650,0,40,United-States,<=50K
Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,45,United-States,>50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,?,>50K
Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
Self-emp-not-inc,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,9386,0,59,?,>50K
Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,<=50K
Private,Some-college,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K
Private,Assoc-voc,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
?,Some-college,Married-civ-spouse,?,Wife,Black,Female,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,40,United-States,<=50K
Private,Some-college,Never-married,Sales,Not-in-family,Black,Female,0,0,36,United-States,<=50K
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
Private,HS-grad,Widowed,Other-service,Unmarried,Black,Female,594,0,20,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Never-married,Other-service,Other-relative,White,Female,0,0,25,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K
Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,50,United-States,>50K
Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States,>50K
Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
Private,11th,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,Haiti,<=50K
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,>50K
Private,Bachelors,Never-married,Prof-specialty,Unmarried,White,Male,0,0,20,United-States,<=50K
Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Transport-moving,Unmarried,White,Male,0,0,50,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Assoc-voc,Never-married,Craft-repair,Own-child,White,Male,0,0,38,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K
Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,>50K
Local-gov,HS-grad,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,Portugal,<=50K
Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-States,>50K
Private,10th,Separated,Other-service,Unmarried,White,Female,0,0,42,United-States,<=50K
State-gov,Some-college,Married-spouse-absent,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,Germany,<=50K
Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,38,United-States,<=50K
Private,5th-6th,Separated,Farming-fishing,Not-in-family,White,Male,0,0,32,Guatemala,<=50K
Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,0,0,55,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,>50K
Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
Local-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,0,0,56,United-States,<=50K
Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K
Private,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,1669,42,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Private,Bachelors,Never-married,Sales,Not-in-family,Other,Female,0,0,55,United-States,>50K
Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,38,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K
Private,12th,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,United-States,<=50K
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,0,0,16,United-States,<=50K
?,HS-grad,Never-married,?,Not-in-family,White,Female,1055,0,40,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
?,Some-college,Never-married,?,Own-child,White,Male,0,0,33,United-States,<=50K
Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,2463,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
Private,Some-college,Never-married,Other-service,Other-relative,Black,Male,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Private,Masters,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,England,>50K
Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,0,1721,30,United-States,<=50K
Self-emp-not-inc,11th,Never-married,Farming-fishing,Unmarried,White,Male,0,0,20,United-States,<=50K
Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
Private,11th,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,48,United-States,>50K
?,Masters,Married-spouse-absent,?,Other-relative,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,47,United-States,>50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States,<=50K
Private,HS-grad,Separated,Other-service,Own-child,White,Female,0,0,36,United-States,<=50K
?,Some-college,Never-married,?,Own-child,Black,Male,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
Private,10th,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,75,Italy,<=50K
Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
Private,Assoc-voc,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,46,United-States,<=50K
Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,60,United-States,<=50K
Private,HS-grad,Widowed,Transport-moving,Unmarried,White,Male,0,653,42,United-States,>50K
Private,HS-grad,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,24,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States,<=50K
Self-emp-inc,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
?,11th,Married-civ-spouse,?,Husband,White,Male,0,0,15,United-States,<=50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,4386,0,40,United-States,>50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
?,11th,Widowed,?,Not-in-family,White,Female,0,0,24,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
Private,HS-grad,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,United-States,<=50K
Private,11th,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,United-States,>50K
Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
Local-gov,HS-grad,Divorced,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,18,United-States,<=50K
Private,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,55,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
State-gov,Doctorate,Divorced,Prof-specialty,Own-child,White,Male,0,0,50,United-States,>50K
Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
Local-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,56,United-States,>50K
Private,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K
Private,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K
Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
